,street,dir_word,township,postal_code,count_date,year,section,count_direction,one_way,avg_perweekday,latitude,longitude
2386,CHE ROQUES,ROQUES (CHE ROQUES),Toulouse,31555,2017-01-30,2017-01-01,ENTRE CHE GARRIC ET CHE DES 7 DENIERS,VERS CHE GARRIC,False,2029.0,43.6227955366019,1.4072492359730253
2387,CHE DU RAMELET MOUNDI,MOUNDI (CHE DU RAMELET MOUNDI),Toulouse,31555,2016-12-01,2016-01-01,ENTRE CHE CATALA ET CHE MAZAYGUES,VERS CHE DE MAZAYGUES,False,5020.0,43.58041762099752,1.362679593521279
2388,RUE MAURICE CAUNES,CAUNES (RUE MAURICE CAUNES),Toulouse,31555,2017-01-09,2017-01-01,ENTRE IMP GESTA ET IMP BREMOND,VERS AV D'ATLANTA,False,665.0,43.64061284545779,1.473777722033187
2389,CHE DE ROCAMADOUR,ROCAMADOUR (CHE DE ROCAMADOUR),Toulouse,31555,2016-12-01,2016-01-01,ENTRE CHE FERRO LEBRES ET PL SAUVEGRAIN,VERS CHE FERRO LEBRES,True,197.0,43.58885691022449,1.3780183863386217
2390,CHE DE CATALA,CATALA (CHE DE CATALA),Toulouse,31555,2016-12-01,2016-01-01,ENTRE RUEQUERIGUT ET CHE DE ROCAMADOUR,VERS CHE DU RAMELET MOUNDI,True,1827.0,43.58761820430272,1.381777885627537
2391,RUE EDMOND ROSTAND,ROSTAND (RUE EDMOND ROSTAND),Toulouse,31555,2016-11-28,2016-01-01,ENTRE RUE DES VIGNES ET BD ARTHAUD,VERS RUE DES VIGNES,False,1070.0,43.6410194365786,1.4488601875970606
2392,CHE DE MAZAYGUES,MAZAYGUES (CHE DE MAZAYGUES),Toulouse,31555,2016-12-01,2016-01-01,ENTRE RUE PAGNOL ETRUE LLAGONE,VERS CHE RAMELET MOUNDI,False,219.0,43.586252487093205,1.3788728789583777
2393,CHE VIREBENT,VIREBENT (CHE VIREBENT),Toulouse,31555,2016-11-28,2016-01-01,ENTRE LAUNAGUET ET CHE DU FURET,VERS CHEDE LA PALANQUE,False,3719.0,43.65493254633147,1.4589811073854229
2394,ALL DE LA COTE D OR,OR (ALL DE LA COTE D OR),Colomiers,31149,2017-03-01,2017-01-01,ENTRE ALL DE LA CHARTREUSE ET CHE DE LA CRA,VERS ALL DE LA CHARTREUSE,False,161.0,43.61614005342878,1.3399200613330748
2395,RUE DE L ILIADE,ILIADE (RUE DE L ILIADE),Toulouse,31555,2017-03-08,2017-01-01,ENTRE RUE ISABEY ET RUE DE L'INDRE,VERS CHE CHATEAU DE L'HERS,False,259.0,43.597553967309935,1.4876531149695282
2396,RTE DE SEILH,SEILH (RTE DE SEILH),Cornebarrieu,31150,2017-02-28,2017-01-01,ENTRE RN 224 ET CHE DE LA GARENNE,VERS CHE DE LA GARENNE,False,3158.0,43.65971002576512,1.335807591622348
