,street,dir_word,township,postal_code,count_date,year,section,count_direction,one_way,avg_perweekday,latitude,longitude
0,CHE DE BESSAYRE,BESSAYRE (CHE DE BESSAYRE),St-Jean,31488,2014-02-08,2014-01-01,ENTRE VALLON ET MERMOZ,VERS CH DE MONTRABE,False,4010.0,43.653914232077135,1.5027828863494108
1,RUE DE BAYARD,BAYARD (RUE DE BAYARD)_TOULOUSE,Toulouse,31555,2014-05-14,2014-01-01,ENTRE ORIENT ET LAFON,VERS LAFON,True,7036.0,43.60954527828468,1.4490135716233121
2,RUE DE MAURYS,MAURYS (RUE DE MAURYS),Gratentour,31230,2014-04-21,2014-01-01,ENTRE TASCAS ET AV DE TOULOUSE,VERS GRATENTOUR,False,2309.0,43.72715480590076,1.4408803778230503
3,RUE DU TASCAS,TASCAS (RUE DU TASCAS),Gratentour,31230,2014-04-24,2014-01-01,ENTRE MAURYS ET PRUNIERS,VERS PECHBONIEU,False,3104.0,43.72221610746344,1.4370415009671003
4,RUE LOUIS PLANA,PLANA (RUE LOUIS PLANA),Toulouse,31555,2014-04-08,2014-01-01,ENTRE SURCOUF ET FRATERNITE,VERS SURCOUF,False,4669.0,43.61009370704622,1.4793010756879603
5,RUE CHARLES GOUNOD,GOUNOD (RUE CHARLES GOUNOD),Toulouse,31555,2014-03-20,2014-01-01,ENTRE BAUDELAIRE ET KRUGER,VERS ROLAND GARROS,False,863.0,43.6138167196074,1.424736937890595
6,CHE DE LADOUX,LADOUX (CHE DE LADOUX),Saint-Jory,31490,2014-02-22,2014-01-01,ENTRE TRINCHET ET PARC,VERS CHE PARC,False,1306.0,43.74019904229352,1.3738179866302058
7,RUE EMILE LECRIVAIN,LECRIVAIN (RUE EMILE LECRIVAIN),Toulouse,31555,2014-05-17,2014-01-01,ENTRE CARROSSE ET COLLENOT,VERS COLLENOT,False,954.0,43.57465941064875,1.4868300501508274
8,RTE DE CORNEBARRIEU,CORNEBARRIEU (RTE DE CORNEBARRIEU),Aussonne,31032,2014-09-19,2014-01-01,ENTRE GRAOS ET PANARIOL,VERS CHE DE FOURTANIER,False,5104.0,43.67020703918653,1.3229275165035823
9,AV CRAMPEL,CRAMPEL (AV CRAMPEL),Toulouse,31555,2014-09-15,2014-01-01,ENTRE CLEMENCEAU ET RACINE,VERS SEGOFFIN,False,15123.0,43.585585515964006,1.4553714085767782
10,RTE D AUCH,AUCH (RTE D AUCH),Colomiers,31149,2014-01-22,2014-01-01,ECHANGEUR 6 RN 124,VERS TOULOUSE RN124,True,13431.0,43.60524008200115,1.2893436326241627
11,CHE DE RIVALSUPERVIC,RIVALSUPERVIC (CHE DE RIVALSUPERVIC),Toulouse,31555,2014-01-20,2014-01-01,ENTRE CHE DES ETROITS CHE PLANTADE,VERS CHE DES ETROITS,False,2341.0,43.54940972287738,1.4467371433978344
12,CHE VIREBENT,VIREBENT (CHE VIREBENT),Launaguet,31282,2014-01-13,2014-01-01,ENTRE PALANQUE ET ENCOURSE,LES 2 SENS,False,8586.0,43.65756560928114,1.4553841251618818
13,CHE DES COMBES,COMBES (CHE DES COMBES)_LAUNAGUET,Launaguet,31282,2014-09-22,2014-01-01,ENTRE CAZALBARBIER ET BRASSENS,LES 2 SENS,False,1952.0,43.67471929311345,1.460835869066244
14,CHE DE LESTANG,LESTANG (CHE DE LESTANG)_TOULOUSE,Toulouse,31555,2014-10-06,2014-01-01,ENTRE EISENHOWER ET PERPIGNAN,LES 2 SENS,False,11271.0,43.552890372551964,1.393555344167955
15,RUE DES TRENTE SIX PONTS,PONTS (RUE DES TRENTE SIX PONTS),Toulouse,31555,2014-10-07,2014-01-01,ENTRE GUESDE ET SAINTE CATHERINE,SENS UNIQUE VERS SAINTE CATHERINE,True,1123.0,43.590824792368565,1.4480852455384388
16,AV DE GAROSSOS,GAROSSOS (AV DE GAROSSOS),Beauzelle,31056,2014-11-14,2014-01-01,ENTRE JUNICASSA ET RIOU,VERS JUNICASSA,False,2743.0,43.667676862888136,1.3646649116579446
17,AV DE L HERS,HERS (AV DE L HERS),Toulouse,31555,2014-12-05,2014-01-01,ENTRE PLANA ET MAURIES,VERS PLANA,False,745.0,43.613623963039764,1.4793640699223631
18,ALL CHARLES DE FITTE,FITTE (ALL CHARLES DE FITTE),Toulouse,31555,2016-09-21,2016-01-01,ENTRE RUE BOURASOL ET RUE VARSY,VERS RUE VARSY,False,17347.0,43.60084288690726,1.4286348151939647
19,CHE DES BOURDETTES,BOURDETTES (CHE DES BOURDETTES),Cugnaux,31157,2016-10-06,2016-01-01,ENTRE RUE DES TROUBADOURS ET RTE DE TOULOUS,VERS RUE DES TROUBADOURS,False,737.0,43.552280033702495,1.3529307707951455
20,RUE DES TROUBADOURS,TROUBADOURS (RUE DES TROUBADOURS),Cugnaux,31157,2016-10-06,2016-01-01,ENTRE CHE GAYLAR ET IMP DES TROUBADOURS,VERS CHE MICHET,False,756.0,43.55401123009325,1.3610366350772536
21,RUE NOUADHIBOU,NOUADHIBOU (RUE NOUADHIBOU),Toulouse,31555,2016-11-14,2016-01-01,ENTRE RTE DE LABEGE ET RTE DE REVEL,VERS RTE DE LABEGE,False,2307.0,43.565943185802745,1.5039770270240962
22,AV RAYMOND NAVES,NAVES (AV RAYMOND NAVES),Toulouse,31555,2016-11-17,2016-01-01,ENTRE RUE MASCARD ET RUE BESSIERES,VERS BD DELTOUR,False,2716.0,43.59644627991434,1.4781176145644686
23,RUE DU FERETRA,FERETRA (RUE DU FERETRA),Toulouse,31555,2016-11-22,2016-01-01,ENTRE RUE ST ROCH ET RUE DE VENISE,VERS RUE DES CASERNES,False,2911.0,43.57822600738884,1.44318657037376
24,RUE FRANCOISE GIROUD,GIROUD (RUE FRANCOISE GIROUD),Toulouse,31555,2016-11-23,2016-01-01,ENTRE RUE ROQUEMAUREL ET AV DE LOMBEZ,VERS RUE ROQUEMAUREL,False,424.0,43.59534544543665,1.4126401898839052
25,RUE RENE SENTENAC,SENTENAC (RUE RENE SENTENAC),Toulouse,31555,2016-11-25,2016-01-01,ENTRE MARIGNAC ET PAS CRABE,VERS IMP RASEYRE,False,713.0,43.61001575313521,1.3772327167689142
26,AV JULES VEDRINES,VEDRINES (AV JULES VEDRINES),Aussonne,31032,2016-11-25,2016-01-01,ENTTRE CHE ARGILOS ET RUE DORET,VERS RUE DORET,False,366.0,43.687029652994006,1.3181819283133438
27,AV DE LA COLONNE,COLONNE (AV DE LA COLONNE),Toulouse,31555,2016-11-25,2016-01-01,ENTRE ALL DES ACACIAS ET CHE CAILLIBENS,VERS CHE CAILLIBENS,False,688.0,43.609564481497586,1.4620461211859153
28,AV PIERRE MOLETTE,MOLETTE (AV PIERRE MOLETTE),Toulouse,31555,2016-12-01,2016-01-01,ENTRE CHE DU RAMELET MOUNDI ET RU ALEMBERT,VERS CHE DU RAMEELT MOUNDI,False,1085.0,43.58893972379173,1.3850016762695152
29,RUE DE L AUDE,AUDE (RUE DE L AUDE),Toulouse,31555,2017-01-10,2017-01-01,ENTRE CLABEL ET RIEUX,VERS AV JEAN RIEUX,False,505.0,43.58364939571052,1.4822137441378773
30,RUE JEAN LOUIS HARCHENKO,HARCHENKO (RUE JEAN LOUIS HARCHENKO),Toulouse,31555,2017-01-16,2017-01-01,ENTRE CHE LICARD ET  IMP GUILHERMY,VERS IMP GUILHERMY,False,219.0,43.563701560177215,1.363070123532367
31,RTE DE PARIS,PARIS (RTE DE PARIS),Aucamville,31022,2017-01-23,2017-01-01,ENTRE RTE DE LACOURTENSOURT ET  RUE SEVESO,VERS SAINT ALBAN,False,16738.0,43.66130938484077,1.4167782622678877
32,DEPARTEMENTALE 820,820 (DEPARTEMENTALE 820),Saint-Jory,31490,2017-01-23,2017-01-01,ENTRE CHE NIVITAL SAINT JORY,VERS SAINT JORY,False,11357.0,43.74389121522037,1.3688309553962765
33,RUE DU CHATEAU,CHATEAU (RUE DU CHATEAU),Brax,31088,2017-01-25,2017-01-01,ENTRE PL DU CHATEAU ET PL DU VIDALET,VERS PL DU VIDALET,False,1011.0,43.61591780555106,1.247571314107992
34,RUE D APOLLO,APOLLO (RUE D APOLLO),L'union,31561,2017-02-21,2017-01-01,ENTRE RUE DE SOYOUZ ET RUE ARIANE,VERS RUE DE SOYOUZ,False,1370.0,43.64146793262963,1.498703498071999
35,AV PIERRE GEORGES LATECOERE,LATECOERE (AV PIERRE GEORGES LATECOERE),Blagnac,31069,2017-02-27,2017-01-01,ENTRE SERVANTY ET VELASQUEZ,SENS UNIQUE VERS VELASQUEZ,True,6023.0,43.62206700488254,1.3927628759591426
36,RUE DES MIMOSAS,MIMOSAS (RUE DES MIMOSAS),Pibrac,31417,2017-03-09,2017-01-01,ENTRE SQ BLEUETS ET SQ PAQUERETTES,VERS CHE SAINT ROCH,False,849.0,43.612782958274444,1.287124060936779
37,RUE DU DOCTEUR EMILE ROUX,ROUX (RUE DU DOCTEUR EMILE ROUX),Toulouse,31555,2015-12-15,2015-01-01,ENTRE RUE CALMETTE,VERS RUE DES FONTAINES,False,139.0,43.599965050571676,1.4245816418141697
38,RUE JACQUES LABATUT,LABATUT (RUE JACQUES LABATUT)_TOULOUSE,Toulouse,31555,2016-03-14,2016-01-01,ENTRE POTIERS ET ST SAUVEUR,VERS PORT ST SAUVEUR,True,368.0,43.598080742444104,1.4549472417086706
39,RUE SAINT FERREOL,FERREOL (RUE SAINT FERREOL),Toulouse,31555,2016-03-14,2016-01-01,ENTRE BD RIQUET ET RUE RIQUET,VERS RUE RIQUET,True,237.0,43.60669646302293,1.4547829933109082
40,RUE DE CHATEAUDUN,CHATEAUDUN (RUE DE CHATEAUDUN),Toulouse,31555,2016-03-14,2016-01-01,ENTRE JANY ET PRINTEMPS,VERS RUE DU PRINTEMPS,True,322.0,43.614510045673,1.445510080757316
41,RUE DOMINIQUE INGRES,INGRES (RUE DOMINIQUE INGRES),Toulouse,31555,2016-03-14,2016-01-01,ENTRE PRINTEMPS ET CHALETS,VERS RUE DU PRINTEMPS,True,1870.0,43.61402302285981,1.442352164721883
42,CHE DES VIEILLES ECOLES,ECOLES (CHE DES VIEILLES ECOLES),Toulouse,31555,2016-03-16,2016-01-01,ENTRE CHE LALANDE ETRUE HAEDENS,VERS CHE LALANDE,False,123.0,43.64984495795795,1.4292338702871172
43,RUE SAINT JOSEPH,JOSEPH (RUE SAINT JOSEPH),Toulouse,31555,2016-03-24,2016-01-01,ENTRE DUMERIL ET SALVAYRE,SENS UNIQUE VERS DUMERIL,True,1131.0,43.59039773424597,1.4507127822719714
44,RUE DU CRUCIFIX,CRUCIFIX (RUE DU CRUCIFIX),Toulouse,31555,2016-03-25,2016-01-01,ENTRE RUE VIGUERIE ET RUE DES NOVAS,VERS RUE DES NOVAS,True,154.0,43.60062579589714,1.4344330035999178
45,BD PIERRE ET MARIE CURIE,CURIE (BD PIERRE ET MARIE CURIE),Toulouse,31555,2016-03-28,2016-01-01,ENTRE RUE CAMPISTRON ET RUE AGHONNE,VERS RUE CAZENEUVE,False,6086.0,43.625076825897885,1.441651370591541
46,AV DE RANGUEIL,RANGUEIL (AV DE RANGUEIL),Toulouse,31555,2016-04-04,2016-01-01,ENTRE CHE DES MARAICHERS ET CAMPUS,VERS AV COLONEL ROCHE,False,3164.0,43.57482872182433,1.4565325437103207
47,AV DE BIARRITZ,BIARRITZ (AV DE BIARRITZ),Toulouse,31555,2016-05-09,2016-01-01,ENTRE WAGNER ET SOURCE,VERS AV DE CASSELARDIT,False,4495.0,43.60733532958796,1.4094229987606304
48,ESP ALBERT SCHWEITZER,SCHWEITZER (ESP ALBERT SCHWEITZER),Balma,31044,2016-05-10,2016-01-01,ENTRE RUE MICHEL ET RUE FOLLEREAU,VERS ALL DU CYPRIE,False,345.0,43.61094797636911,1.5153106116691735
49,RUE DU LUAN,LUAN (RUE DU LUAN),Balma,31044,2016-05-19,2016-01-01,ENTRE AV GIMONT ET RUE BULLIARD,VERS AV GIMONT,False,597.0,43.626438740877155,1.4903294483079579
50,DEPARTEMENTALE 59,59 (DEPARTEMENTALE 59),L'union,31561,2016-06-16,2016-01-01,ENTRE AV PYRENEES ET A68,VERS AV DES PYRENEES,False,12295.0,43.651286454532055,1.4994353807137915
51,AV DE CASTRES,CASTRES (AV DE CASTRES),Toulouse,31555,2016-07-18,2016-01-01,ENTRE BD DES CRETES ET RUE CHATEAU DE L'HER,VERS BD DES CRETES,False,6450.0,43.59840763262997,1.4807614986539097
52,BD VICTOR HUGO,HUGO (BD VICTOR HUGO),Colomiers,31149,2016-09-12,2016-01-01,ENTRE RUE LAPLACE ET RUE CURIE,VERS N124,False,7304.0,43.61397937205243,1.3097684276546657
53,AV DE L EGLISE,EGLISE (AV DE L EGLISE),Saint-Jean,31488,2016-09-12,2016-01-01,ENTRE RTE D'ALBI ET RUE DES ROSES,VERS RUE DES ROSES,False,3677.0,43.66659167074504,1.5033082769882646
54,RUE JACQUES CARTIER,CARTIER (RUE JACQUES CARTIER),Toulouse,31555,2016-09-15,2016-01-01,ENTRE CHE MOUNDI ET RUE ALEMBERT,VERS CHE MOUNDI,False,335.0,43.586793502757615,1.3857103200233327
55,RUE CAPUS,CAPUS (RUE CAPUS),Toulouse,31555,2015-05-21,2015-01-01,ENTRE RUE COLBERT ET RUE CAZENEUVE,SENS UNIQUE VERS CAZENEUVE,True,606.0,43.58218740910527,1.4508483304110427
56,CHE DE CROIX BENITE,BENITE (CHE DE CROIX BENITE),Toulouse,31555,2015-04-08,2015-01-01,ENTRESERMET ET GAUSSEN,VERS AUCAMVILLE,False,5038.0,43.659793570672164,1.4347614561618074
57,RTE D AUCH,AUCH (RTE D AUCH),Colomiers,31149,2015-04-08,2015-01-01,ENTRE RUE CAYRE ET CHE DU PAGE,VERS AUCH,False,38435.0,43.60524008200115,1.2893436326241627
58,CHE DU PAGE,PAGE (CHE DU PAGE),Colomiers,31149,2015-11-26,2015-01-01,ENTRE ALL DU PORTEL ET ALL DE LA QUILLANE,VERS AV HERMES,False,3916.0,43.60434142285679,1.3489579875913502
59,BD DEODAT DE SEVERAC,SEVERAC (BD DEODAT DE SEVERAC),Colomiers,31149,2015-11-26,2015-01-01,ENTRE ALL CROS ET CHE DES RAMASSIERS,VERS CHE DES RAMASSIERS,False,2575.0,43.596878022016845,1.354826385073103
60,AV DE PARIS,PARIS (AV DE PARIS),Blagnac,31069,2015-11-02,2015-01-01,ENTRE RUE DORET ET A621,VERS  A621,True,12281.0,43.63208271298151,1.3777404886367615
61,AV ANTOINE DE ST EXUPERY,EXUPERY (AV ANTOINE DE ST EXUPERY),Toulouse,31555,2015-09-21,2015-01-01,ENTRE RUE BARRAU ET RUE BEZIAT,VERS PONT DES DEMOISELLES,False,5554.0,43.57882485997944,1.4839392423637285
62,AV POMPIDOU,POMPIDOU (AV POMPIDOU),Cugnaux,31157,2015-11-04,2015-01-01,ENTRE RUE MENDES FRANCE ET AV DU COMMINGES,VERS AV DU COMMINGES,False,3756.0,43.53236594508973,1.350377373303629
63,CHE DE LA PASSERELLE,PASSERELLE (CHE DE LA PASSERELLE),Colomiers,31149,2015-08-31,2015-01-01,ENTRE CHE DE LA PASSERELLE ET ALL COTE D'AR,VERS CHE DE LA PASSERELLE,False,174.0,43.607182466387584,1.3240921203687537
64,ALL DE LIMAYRAC,LIMAYRAC (ALL DE LIMAYRAC),Toulouse,31555,2015-06-25,2015-01-01,ENTRE CHE DE LIMAYRAC ET RUE GARGAS,VERS AV JEAN GONORD,False,3774.0,43.5904940385877,1.482798876849244
65,RUE LEON GAMBETTA,GAMBETTA (RUE LEON GAMBETTA),Toulouse,31555,2015-01-15,2015-01-01,ENTRE CAPITOLE ET MIREPOIX,SENS UNIQUE VERS MIREPOIX,True,2820.0,43.60319677227634,1.4420748665679508
66,RUE VALADE,VALADE (RUE VALADE),Toulouse,31555,2015-01-15,2015-01-01,ENTRE BASTIDE ET SAINT PIERRE,SENS UNIQUE VERS PARGAMINIERES,True,2058.0,43.604921452149114,1.437193595361297
67,QU DE LA DAURADE,DAURADE (QU DE LA DAURADE),Toulouse,31555,2015-01-15,2015-01-01,ENTRE DAURADE ET TABAC,SENS UNIQUE VERS TABAC,True,4780.0,43.601674342426534,1.4398865715249711
68,RUE MALBEC,MALBEC (RUE MALBEC),Toulouse,31555,2015-01-15,2015-01-01,ENTRE GAMBETTA ET DAURADE,SENS UNIQUE VERS DAURADE,True,518.0,43.60219421250836,1.4399734152834787
69,RUE DE LONGCHAMPS,LONGCHAMPS (RUE DE LONGCHAMPS),Tournefeuille,31557,2015-06-12,2015-01-01,ENTRE RUE DE VINCENNES ET RUE GAUGUIN,VERS RUE GAUGUIN,False,467.0,43.590550058615655,1.3217279195089453
70,AV PIERRE MOLETTE,MOLETTE (AV PIERRE MOLETTE),Toulouse,31555,2015-06-10,2015-01-01,ENTRE AV DE  LARDENNE ET RUE ALEMBERT,VERS AV DE LARDENNE,False,1367.0,43.58893972379173,1.3850016762695152
71,RUE JEAN D ALEMBERT,ALEMBERT (RUE JEAN D ALEMBERT),Toulouse,31555,2015-06-10,2015-01-01,ENTRE RUE CARTIER ET IMP ALEMBERT,VERS CHE CATALA,False,378.0,43.5883628875508,1.38590304771956
72,RUE DU CHATEAU D EAU,EAU (RUE DU CHATEAU D EAU),Blagnac,31069,2015-01-23,2015-01-01,ENTRE RTE GRENADE ET IMP CHATEAU D'EAU,VERS SERVANTY,False,598.0,43.62351850470429,1.3959346306660785
73,RUE MARIUS TERCE,TERCE (RUE MARIUS TERCE),Toulouse,31555,2015-02-23,2015-01-01,ENTRE SORTIE AIBUS ET MAX FISCHL,VERES AIRBUS,False,1959.0,43.6078505315533,1.358644230734123
74,AV DE BALARDOU,BALARDOU (AV DE BALARDOU),Pibrac,31417,2015-01-23,2015-01-01,ENTRE CATALPAS ET PEUPLIERS,VERS CATALPAS,False,1324.0,43.61407171400201,1.2815136592264857
75,RTE DE CASTRES,CASTRES (RTE DE CASTRES),Quint-Fonsegrives,31445,2018-02-08,2018-01-01,ENTRE RPT GINESTIERE ET RD64,VERS RD64,False,4506.0,43.58638321693469,1.5433652094901045
76,BD CATALA,CATALA (BD CATALA),Saint-Orens-De-Gameville,31506,2018-03-09,2018-01-01,ENTRE RUE VIGUERIE ET RUE TOURTERELLES,VERS RUE DES TOURTERELLES,False,603.0,43.571088617200864,1.5167060684492815
77,RUE CLAUDE FAURIEL,FAURIEL (RUE CLAUDE FAURIEL),Toulouse,31555,2018-03-16,2018-01-01,ENTRE AV DE LESPINET ET RUE JASMIN,VERS AV DE LESPINET,False,30.0,43.581948571021556,1.4661434000940108
78,RUE DE CHATEAUDUN,CHATEAUDUN (RUE DE CHATEAUDUN),Toulouse,31555,2018-03-19,2018-01-01,ENTRE RUE JANY ET RUE PRINTEMPS,VERS RUE DU PRINTEMPS,True,284.0,43.614510045673,1.445510080757316
79,RUE THEODORE OZENNE,OZENNE (RUE THEODORE OZENNE),Toulouse,31555,2018-03-19,2018-01-01,ENTRE RUE FELIX ET RUE PLEAU,VERS RUE DU LANGEDOC,False,1433.0,43.5962156866252,1.4472746153387195
80,RUE CHRISTOPHE COLOMB,COLOMB (RUE CHRISTOPHE COLOMB),Toulouse,31555,2018-03-19,2018-01-01,ENTRE DB MATABIAU ET RUE VOLTA,VERS RUE VOLTA,False,149.0,43.61391968358521,1.4485476946833824
81,RUE EMILE BROUARDEL,BROUARDEL (RUE EMILE BROUARDEL)_TOULOUSE,Toulouse,31555,2018-03-19,2018-01-01,ENTRE BD LASCROSSES ET RUE FRANKLIN,VERS BD DE LA MARQUETTE,False,851.0,43.60975087257431,1.4256916876370418
82,RUE DU 14 JUILLET,JUILLET (RUE DU 14 JUILLET),Tournefeuille,31557,2018-05-15,2018-01-01,ENTRE IMP 14 JUILLET ET RTE DE TARBES,VERS RTE DE TARBES,False,417.0,43.57309816766971,1.326137847706535
83,RUE PICHOUNELLE,PICHOUNELLE (RUE PICHOUNELLE),Saint-Jory,31490,2018-05-15,2018-01-01,ENTRE CHE DE LA PLAINE ET RU EVENDINELLE,VERS CHE DE LA PLAINE,False,237.0,43.75690184230306,1.366153827382294
84,CHE DE L AUTAN,AUTAN (CHE DE L AUTAN),Aigrefeuille,31003,2018-05-15,2018-01-01,ENTRE ALL FENAISONS ET ALL MOISSONS,VERS CHE DE QUINT,False,169.0,43.56835734630495,1.5829682309145643
85,RUE DE FENOUL,FENOUL (RUE DE FENOUL),Toulouse,31555,2018-06-16,2018-01-01,,,True,170.0,43.589218182502115,1.4831204894120287
86,ALL JEAN DUFOUR,DUFOUR (ALL JEAN DUFOUR),Colomiers,31149,2018-08-10,2018-01-01,ENTRE AV JAMBON ET ALL HUGO,VERS AV JAMBON,False,134.0,43.62515142395575,1.3378070984764525
87,RUE DU PROFESSEUR JAMMES,JAMMES (RUE DU PROFESSEUR JAMMES),Toulouse,31555,2018-09-18,2018-01-01,ENTRE RUE GUTENBERG ET AV DES MINIMES,VERS AV DES MINIMES,True,244.0,43.61711727798779,1.438828934824394
88,RUE JEAN MILLET,MILLET (RUE JEAN MILLET),Toulouse,31555,2018-09-18,2018-01-01,ENTRE RUE CHAUSSAS ET RU SALAMBI,VERS RUE SANG DE SERP,False,357.0,43.6196018028592,1.427295423239096
89,RUE ADONIS,ADONIS (RUE ADONIS),Toulouse,31555,2018-09-19,2018-01-01,ENTRE RUE ROBERT ET AV DES ETATS UNIS,VERS AV DES ETATS UNIS,True,756.0,43.63145982164306,1.4277317031046077
90,AV DE LARDENNE,LARDENNE (AV DE LARDENNE),Toulouse,31555,2018-10-03,2018-01-01,ENTRE RUE MOLETTE ET CHE CATALA,VERS CHE SAVIT,False,5289.0,43.5900151683827,1.3665984600411225
91,RUE NICOLAS L VAUQUELIN,VAUQUELIN (RUE NICOLAS L VAUQUELIN),Toulouse,31555,2018-11-08,2018-01-01,ENTRE AV DE TABAR ET AV DE REYNERIE,VERS AV DE REYNERIE,True,389.0,43.57975985273891,1.4055979173253061
92,RUE GOUDOULI,GOUDOULI (RUE GOUDOULI),Toulouse,31555,2018-10-15,2018-01-01,ENTRE AV CRAMPEL ET RUE DEODORA,VERS RUE DEODORA,False,516.0,43.58750580337645,1.4587924230422165
93,ALL MAURICE MAGRE,MAGRE (ALL MAURICE MAGRE),Colomiers,31149,2018-11-15,2018-01-01,,VERS GYMNASE,False,537.0,43.59691316819985,1.3486835197074925
94,RUE DES FONTAINES,FONTAINES (RUE DES FONTAINES),Toulouse,31555,2018-10-15,2018-01-01,ENTRE RUE POUVILLON ET RUE DES BRAVES,VERS AV JEAN BRUNHES,True,4066.0,43.6013100434952,1.4176600876666858
95,AV ANTOINE DE ST EXUPERY,EXUPERY (AV ANTOINE DE ST EXUPERY),Toulouse,31555,2019-02-11,2019-01-01,ENTRE RUE ENGALIERES ET RUE FONTENELLE,VERS CHE DE LA BUTTE,False,4668.0,43.57882485997944,1.4839392423637285
96,AV DE LA GLOIRE,GLOIRE (AV DE LA GLOIRE),Toulouse,31555,2019-02-19,2019-01-01,ENTRE RUE SOLFERINO ET RUE SAVIGNAC,VERS RUE ASSALIT,False,5274.0,43.60722723078045,1.4676110077283544
97,ALL DE LA BLANQUETTE,BLANQUETTE (ALL DE LA BLANQUETTE),Colomiers,31149,2017-03-17,2017-01-01,ENTRE ESP MITTERRAND ET ALL VIGNEMAL,VERS ALL DE GVARNIE,False,881.0,43.60615723219689,1.330492202971603
98,CHE DES MAROTS,MAROTS (CHE DES MAROTS),Colomiers,31149,2017-03-17,2017-01-01,ENTRE ALL DE L'ESQUILLETTE ET ALL VAUCLUSE,VERS ALL DU VAUCLUSE,False,295.0,43.602326359520454,1.328192772008311
99,BD PIERRE SEMARD,SEMARD (BD PIERRE SEMARD),Toulouse,31555,2017-04-19,2017-01-01,ENTRE PONT DU 19 MARS ET  PONT RIQUET,VERS PONT RIQUET,True,16914.0,43.61141752417552,1.4530195955553986
100,RUE FIEUX,FIEUX (RUE FIEUX),Toulouse,31555,2017-04-20,2017-01-01,2017ENTRE RUE SAINT SAENS ET RUE GAMELIN,VERS RUE SAINT SAENS,False,1442.0,43.58269769161411,1.4202472755552267
101,RUE D AUBUISSON,AUBUISSON (RUE D AUBUISSON),Toulouse,31555,2017-04-20,2017-01-01,ENTRE RUE RIQUET ET RUE SAINT AUBIN,VERS BD CARNOT,True,3417.0,43.60331333342752,1.4525675444153874
102,CHE DE GARRIC,GARRIC (CHE DE GARRIC),Toulouse,31555,2017-04-21,2017-01-01,ENTRE RUE FLOURAC ET CHE ROQUES,VERS RTE DE BLAGNAC,False,1474.0,43.620285314672365,1.408180101499056
103,RTE DE FRONTON,FRONTON (RTE DE FRONTON),Aucamville,31022,2017-04-21,2017-01-01,ENTRE RUE JAURES ET PL NOUGEIN,VERS RUE JAURES,False,7681.0,43.67870681099826,1.4228676611405289
104,RUE PRINCIPALE,PRINCIPALE (RUE PRINCIPALE),Pibrac,31417,2017-04-21,2017-01-01,ENTRE RUE DU PRESSOIR ET BD DES ECOLES,VERS AV DE TOULOUSE,False,2849.0,43.61773655749479,1.2834496306063603
105,RUE DE LA VERGE D OR,OR (RUE DE LA VERGE D OR),Toulouse,31555,2017-05-15,2017-01-01,ENTRE BD ARCOLE ET RUE ESCOUSSIERE,VERS RUE DES 3 RENARDS,True,176.0,43.610861544632165,1.4400034849823053
106,RUE DE BANDOL,BANDOL (RUE DE BANDOL),L'union,31561,2017-05-22,2017-01-01,ENTRE CHE DES CHAMPS ET RUE DU LAVANDOU,VERS CHE DES CHAMPS,False,107.0,43.65015483858018,1.4978293629142612
107,CHE DE BAROUNA,BAROUNA (CHE DE BAROUNA),Aussonne,31032,2017-05-29,2017-01-01,ENTRE CHE SOULEILH ET RTE DU CHATEAU D'EAU,VERS RTE DCHATEAU D'EAU,False,129.0,43.6966901104828,1.3149938413470141
108,RTE DE CASTRES,CASTRES (RTE DE CASTRES),Flourens,31184,2017-06-12,2017-01-01,ENTRE CHE LAIE CISAROL ET CHE DE LA TERRASS,VERS TOULOUSE,False,5937.0,43.585145334109185,1.5742134559877792
109,DEPARTEMENTALE 63,63 (DEPARTEMENTALE 63),Gagnac-Sur-Garonne,31205,2017-06-12,2017-01-01,ENTRE SEILH ET LA GARONNE,VERS GAGNAC,False,11920.0,43.70149509832896,1.3695605479173731
110,RUE DE CARCASSONNE,CARCASSONNE (RUE DE CARCASSONNE),Toulouse,31555,2017-06-21,2017-01-01,ENTRE RUE DE CASTELNAUDARY ET RUE DE FOIX,LES DEUX SENS,False,1891.0,43.59826008024682,1.4831008730381723
111,CHE DES ETROITS,ETROITS (CHE DES ETROITS),Toulouse,31555,2017-09-06,2017-01-01,ENTRE CHE DES CANALETS ET CHE DE RIVALSUPER,VERS  CHE RIVALSUPERVIC,False,7066.0,43.56336584976836,1.4393304008337038
112,CHE DE LANCEFOC,LANCEFOC (CHE DE LANCEFOC),Flourens,31184,2017-09-06,2017-01-01,ENTRE CHE PASTEL ET CHE VIGNALIS,VERS CHE DU PASTEL,False,1059.0,43.60493639566998,1.5368323350218467
113,AV DE GASCOGNE,GASCOGNE (AV DE GASCOGNE),Tournefeuille,31557,2017-09-14,2017-01-01,ENTRE ALL HIGOUNENG ET CHE PANICARDA,VERS ALL HIGOUNENG,False,1793.0,43.591458768625515,1.3393425133228936
114,RUE SAINTE CLAIRE,CLAIRE (RUE SAINTE CLAIRE),Toulouse,31555,2017-09-20,2017-01-01,ENTRE RUE NAVES ET RUE JULIA,VERS RUE RAYMOND NOVES,False,415.0,43.59345366393931,1.4849581087932169
